RGB,HSV,Proportion,Street Name,District,R,G,B,H,S,V
"167.82891701480023, 169.21555791092214, 168.89889228337753","75, 3, 169",0.095481097,ALIWAL_St_A,KG,168,169,169,75,3,169
"179.1373097915062, 180.2092384363637, 179.766338770452","60, 1, 180",0.095152173,ALIWAL_St_A,KG,179,180,180,60,1,180
"157.8605295052243, 158.12253494569367, 156.38299981145465","45, 3, 158",0.092080236,ALIWAL_St_A,KG,158,158,156,45,3,158
"190.0596253007859, 191.61651770368007, 191.67485963101444","90, 1, 191",0.086613556,ALIWAL_St_A,KG,190,192,192,90,1,191
"133.11029848895708, 132.70366608865936, 130.49405499132277","20, 6, 133",0.079936855,ALIWAL_St_A,KG,133,133,130,20,6,133
"144.16184236730643, 146.23197840911527, 145.68451485746465","75, 3, 146",0.072129013,ALIWAL_St_A,KG,144,146,146,75,3,146
"105.20539444963745, 108.28798721543498, 106.49793420640925","70, 7, 108",0.063588412,ALIWAL_St_A,KG,105,108,106,70,7,108
"92.85558478750167, 95.33860896498007, 93.51530238442635","70, 8, 95",0.059383846,ALIWAL_St_A,KG,93,95,94,70,8,95
"116.74678224095958, 121.35323261358275, 120.75709305067755","84, 11, 121",0.057010437,ALIWAL_St_A,KG,117,121,121,84,11,121
"88.202745575339, 83.04960392683418, 75.23504000636996","18, 38, 88",0.050236498,ALIWAL_St_A,KG,88,83,75,18,38,88
"206.3277011717347, 204.19646749100616, 202.1536220625214","15, 5, 206",0.045966941,ALIWAL_St_A,KG,206,204,202,15,5,206
"133.0124680263969, 118.48085602172425, 104.3578497676352","14, 56, 133",0.036962969,ALIWAL_St_A,KG,133,118,104,14,56,133
"159.03743457957506, 144.20348491021366, 129.30248519226345","15, 48, 159",0.031576164,ALIWAL_St_A,KG,159,144,129,15,48,159
"114.86679412529641, 98.4669157903549, 81.80764751888819","15, 74, 114",0.028527544,ALIWAL_St_A,KG,115,98,82,15,74,114
"67.01543222700421, 82.43268391970784, 88.89872471232107","99, 61, 88",0.023829345,ALIWAL_St_A,KG,67,82,89,99,61,88
"99.00154809332128, 66.9809220261417, 48.51353443367968","11, 131, 99",0.02186771,ALIWAL_St_A,KG,99,67,49,11,131,99
"146.28109120085603, 81.93843273599167, 78.51125969509394","1, 119, 146",0.018548212,ALIWAL_St_A,KG,146,82,79,1,119,146
"191.27756247900206, 169.15824967196707, 148.17994568368425","15, 57, 191",0.01624922,ALIWAL_St_A,KG,191,169,148,15,57,191
"230.9845027571923, 226.55187931796954, 219.36787728971296","19, 12, 230",0.015665294,ALIWAL_St_A,KG,231,227,219,19,12,230
"178.77507287054698, 119.61346216128779, 100.17602288674688","7, 112, 178",0.00919448,ALIWAL_St_A,KG,179,120,100,7,112,178
"184.0185008771524, 185.5251197255171, 183.18324144683302","45, 3, 185",0.118941667,ALIWAL_St_B,KG,184,186,183,45,3,185
"193.60976182348466, 195.32379062444545, 193.42901881229335","60, 3, 195",0.115765459,ALIWAL_St_B,KG,194,195,193,60,3,195
"173.39269254525612, 174.77104813038704, 171.9649118639066","40, 4, 174",0.086342715,ALIWAL_St_B,KG,173,175,172,40,4,174
"205.15979298381723, 205.77844376987184, 203.25618567005074","30, 2, 205",0.079562633,ALIWAL_St_B,KG,205,206,203,30,2,205
"160.87090693392662, 163.00244546825004, 159.46069419273647","53, 6, 163",0.070390396,ALIWAL_St_B,KG,161,163,159,53,6,163
"98.18096438316722, 95.609805863127, 88.99592672612873","21, 26, 98",0.068424367,ALIWAL_St_B,KG,98,96,89,21,26,98
"149.72281971140518, 150.43740309601466, 145.4414720383178","36, 8, 150",0.062487821,ALIWAL_St_B,KG,150,150,145,36,8,150
"112.09793582939123, 108.6967698474871, 101.3554248931604","19, 25, 112",0.061630953,ALIWAL_St_B,KG,112,109,101,19,25,112
"87.08873403628512, 82.49833077209719, 75.79616872454102","18, 35, 87",0.058066051,ALIWAL_St_B,KG,87,82,76,18,35,87
"136.93839228176972, 136.82031384722686, 131.69860502264817","30, 9, 136",0.056422053,ALIWAL_St_B,KG,137,137,132,30,9,136
"217.3264754268419, 217.7705500822699, 215.28988521834546","30, 2, 217",0.054235526,ALIWAL_St_B,KG,217,218,215,30,2,217
"125.62075844281829, 121.9323970339449, 114.80314540176032","19, 22, 125",0.051069573,ALIWAL_St_B,KG,126,122,115,19,22,125
"110.51422137365286, 126.99246095854555, 131.45400695157747","97, 41, 131",0.020843803,ALIWAL_St_B,KG,111,127,131,97,41,131
"92.14927019469117, 106.40681835673112, 108.8865659390085","94, 38, 108",0.020052058,ALIWAL_St_B,KG,92,106,109,94,38,108
"236.57508731083593, 237.06547525407854, 232.78054305759173","36, 5, 237",0.016297938,ALIWAL_St_B,KG,237,237,233,36,5,237
"66.72973539062372, 86.33613768066512, 85.90201075194587","89, 59, 86",0.014721628,ALIWAL_St_B,KG,67,86,86,89,59,86
"123.17711796400849, 151.7402269861278, 157.59776835186665","95, 55, 157",0.013386841,ALIWAL_St_B,KG,123,152,158,95,55,157
"187.32537182503103, 173.95051636828327, 150.8212448662226","19, 50, 187",0.012890462,ALIWAL_St_B,KG,187,174,151,19,50,187
"151.4073998573023, 180.52966058506246, 184.71552339211053","94, 46, 184",0.010050643,ALIWAL_St_B,KG,151,181,185,94,46,184
"102.6953267615973, 51.83643665572488, 46.44158451990728","3, 140, 102",0.008417413,ALIWAL_St_B,KG,103,52,46,3,140,102
"158.3761693495031, 162.031263768432, 162.09312017802682","90, 6, 162",0.089147434,ARAB_St_A,KG,158,162,162,90,6,162
"178.9978236046513, 179.46609956418246, 177.28781847137662","45, 3, 179",0.087222597,ARAB_St_A,KG,179,179,177,45,3,179
"99.88850725437587, 94.62382865932683, 88.90110401435906","16, 28, 99",0.081449688,ARAB_St_A,KG,100,95,89,16,28,99
"126.7213497392196, 127.16655332392348, 124.86031178860392","40, 6, 127",0.079281132,ARAB_St_A,KG,127,127,125,40,6,127
"197.83264460131608, 197.50933674452165, 196.23376190164186","30, 1, 197",0.070707276,ARAB_St_A,KG,198,198,196,30,1,197
"150.7336393791777, 145.6829891129429, 136.83268842775095","19, 24, 150",0.070395196,ARAB_St_A,KG,151,146,137,19,24,150
"120.74886730533397, 111.18976123726371, 101.20033083994379","16, 40, 120",0.068664467,ARAB_St_A,KG,121,111,101,16,40,120
"92.21667207158993, 76.15693730914158, 63.485292461135174","13, 80, 92",0.06698998,ARAB_St_A,KG,92,76,63,13,80,92
"75.20819002547455, 83.5632439869699, 87.70434062807188","100, 35, 87",0.058970095,ARAB_St_A,KG,75,84,88,100,35,87
"97.36551438672846, 108.6510757678266, 118.15727617087417","104, 45, 118",0.054766274,ARAB_St_A,KG,97,109,118,104,45,118
"126.16986869108119, 142.9953035860226, 152.2642786539311","102, 44, 152",0.045308305,ARAB_St_A,KG,126,143,152,102,44,152
"187.45183782165913, 163.87253150959504, 139.66146962174687","15, 65, 187",0.035969453,ARAB_St_A,KG,187,164,140,15,65,187
"160.02495198914872, 129.0120556857868, 100.93792415304917","15, 96, 160",0.033486531,ARAB_St_A,KG,160,129,101,15,96,160
"134.43521753628383, 87.2743958131075, 70.43716746171135","8, 122, 134",0.031492648,ARAB_St_A,KG,134,87,70,8,122,134
"55.754150830172975, 103.91231323184785, 123.02942126886535","99, 141, 123",0.029726709,ARAB_St_A,KG,56,104,123,99,141,123
"96.02582447928506, 51.638795242350625, 40.11571147153634","6, 149, 96",0.027770551,ARAB_St_A,KG,96,52,40,6,149,96
"28.1206214879967, 77.531781015528, 95.20658501294338","98, 180, 95",0.027218866,ARAB_St_A,KG,28,78,95,98,180,95
"219.88769352124092, 220.87832276832847, 223.71464821673698","113, 5, 223",0.023920192,ARAB_St_A,KG,220,221,224,113,5,223
"45.363560904781664, 112.23006156187944, 171.68953909293154","104, 188, 171",0.009902654,ARAB_St_A,KG,45,112,172,104,188,171
"102.72006248873427, 158.8963528210144, 55.08048428767722","46, 166, 158",0.007609952,ARAB_St_A,KG,103,159,55,46,166,158
"89.36718400936977, 79.20208990722749, 71.92382606704679","13, 52, 89",0.093975399,ARAB_St_B,KG,89,79,72,13,52,89
"159.22228290730115, 154.2284130055642, 142.15970210333282","21, 27, 159",0.088215434,ARAB_St_B,KG,159,154,142,21,27,159
"177.17242057267893, 171.7623110349724, 160.49848993011577","19, 24, 177",0.086848184,ARAB_St_B,KG,177,172,160,19,24,177
"121.66903737140933, 116.61044244356324, 108.67068990203876","18, 27, 121",0.084949249,ARAB_St_B,KG,122,117,109,18,27,121
"96.9791113803551, 96.94469887952566, 94.66560061509733","30, 5, 96",0.080101359,ARAB_St_B,KG,97,97,95,30,5,96
"148.8036989099945, 134.8359955984664, 116.37635123866646","17, 55, 148",0.064037995,ARAB_St_B,KG,149,135,116,17,55,148
"199.37086350665305, 191.04394708775678, 178.44090139737358","19, 27, 199",0.059695952,ARAB_St_B,KG,199,191,178,19,27,199
"129.84043697823608, 136.90350739649855, 137.530221354786","94, 15, 137",0.052836876,ARAB_St_B,KG,130,137,138,94,15,137
"123.20915604004333, 100.0666719132254, 81.15588259255219","14, 87, 123",0.051100863,ARAB_St_B,KG,123,100,81,14,87,123
"171.76179174014933, 110.51226775176201, 92.42450264479407","7, 118, 171",0.048949435,ARAB_St_B,KG,172,111,92,7,118,171
"211.16715435269916, 212.3995376980372, 209.30800664386004","40, 4, 212",0.047873721,ARAB_St_B,KG,211,212,209,40,4,212
"171.40983369752692, 187.17866416278062, 197.548206063426","102, 34, 197",0.039727922,ARAB_St_B,KG,171,187,198,102,34,197
"141.0049235179765, 161.24396343194712, 170.0656495031383","99, 44, 170",0.036881457,ARAB_St_B,KG,141,161,170,99,44,170
"98.13715045530037, 54.84053912494686, 41.16480780080148","7, 148, 98",0.035536312,ARAB_St_B,KG,98,55,41,7,148,98
"143.0878802672603, 73.15948251103025, 58.4980472114422","5, 152, 143",0.03001707,ARAB_St_B,KG,143,73,58,5,152,143
"236.11160685558576, 239.36636886264625, 236.57371457991724","60, 3, 239",0.026759784,ARAB_St_B,KG,236,239,237,60,3,239
"40.89495708269298, 77.5704778984392, 98.48013738036738","101, 151, 98",0.025445214,ARAB_St_B,KG,41,78,98,101,151,98
"84.84676659764713, 120.2874606420854, 135.92265669151226","99, 96, 135",0.021276428,ARAB_St_B,KG,85,120,136,99,96,135
"203.258935332473, 151.1075950325411, 106.52064970470245","14, 122, 203",0.01899983,ARAB_St_B,KG,203,151,107,14,122,203
"26.511264027132285, 101.59144611473818, 167.35193732797308","104, 215, 167",0.006771515,ARAB_St_B,KG,27,102,167,104,215,167
"163.18337863173582, 139.64053892999573, 127.38280307544588","10, 56, 163",0.084655909,BAGHDAD_St_A,KG,163,140,127,10,56,163
"170.79927979230234, 155.0831588644307, 147.02460430448755","10, 35, 170",0.073375911,BAGHDAD_St_A,KG,171,155,147,10,35,170
"145.93120964423784, 147.7000125203548, 145.97826825733802","60, 3, 147",0.068558835,BAGHDAD_St_A,KG,146,148,146,60,3,147
"103.76521818180827, 93.39469090910575, 88.04327272726225","10, 37, 103",0.067489466,BAGHDAD_St_A,KG,104,93,88,10,37,103
"188.6003299422497, 173.1243515718247, 168.90109064247764","8, 27, 188",0.066946178,BAGHDAD_St_A,KG,189,173,169,8,27,188
"128.57750435961623, 130.81881418329743, 129.68360782794147","75, 4, 130",0.063452906,BAGHDAD_St_A,KG,129,131,130,75,4,130
"90.0114259972049, 77.43201736425578, 70.6578548611813","11, 57, 90",0.060130488,BAGHDAD_St_A,KG,90,77,71,11,57,90
"150.2348392684026, 119.50883559807664, 111.1795987380593","6, 66, 150",0.059545408,BAGHDAD_St_A,KG,150,120,111,6,66,150
"119.95712186081406, 113.50139519032552, 109.04343195517575","12, 21, 119",0.057836876,BAGHDAD_St_A,KG,120,114,109,12,21,119
"160.99393840485948, 167.6314317021562, 170.46490103279217","99, 15, 170",0.052655968,BAGHDAD_St_A,KG,161,168,170,99,15,170
"187.8456038647242, 189.32490338165877, 191.23504830919478","105, 5, 191",0.050819604,BAGHDAD_St_A,KG,188,189,191,105,5,191
"208.01889444096395, 207.8893660212538, 210.84363939207725","130, 4, 210",0.047205874,BAGHDAD_St_A,KG,208,208,211,130,4,210
"91.38684965620804, 57.872908884213516, 45.40736830709892","8, 129, 91",0.04544326,BAGHDAD_St_A,KG,91,58,45,8,129,91
"132.42656281905576, 100.54073685132629, 89.57428313058789","8, 83, 132",0.042299069,BAGHDAD_St_A,KG,132,101,90,8,83,132
"114.47726651479923, 79.52352315870806, 61.5330599848266","10, 119, 114",0.040529079,BAGHDAD_St_A,KG,114,80,62,10,119,114
"72.19076808766526, 86.84780656946859, 87.79495990835274","92, 44, 87",0.039739959,BAGHDAD_St_A,KG,72,87,88,92,44,87
"94.79395454690244, 107.65140878931047, 110.16879828188202","96, 37, 110",0.03834855,BAGHDAD_St_A,KG,95,108,110,96,37,110
"25.908802383564336, 81.75671999482441, 88.51117300342733","93, 183, 88",0.018976995,BAGHDAD_St_A,KG,26,82,89,93,183,88
"234.3772815713806, 234.65690725471234, 237.7490966366998","120, 3, 237",0.013254028,BAGHDAD_St_A,KG,234,235,238,120,3,237
"36.0894892359575, 114.66047558744853, 126.66765161108775","94, 182, 126",0.008735637,BAGHDAD_St_A,KG,36,115,127,94,182,126
"175.5607974174496, 178.55128277736316, 174.17805969303157","53, 6, 178",0.084511079,BAGHDAD_St_B,KG,176,179,174,53,6,178
"159.70333428326745, 165.68566543174987, 163.8473069250441","80, 9, 165",0.083961809,BAGHDAD_St_B,KG,160,166,164,80,9,165
"102.31361802083423, 100.34493766186802, 94.87568511714","23, 20, 102",0.079223763,BAGHDAD_St_B,KG,102,100,95,23,20,102
"92.22278429784961, 81.46755699446243, 69.3097936058183","16, 64, 92",0.070573963,BAGHDAD_St_B,KG,92,81,69,16,64,92
"184.25142276422235, 189.56070460703958, 191.99261517614286","99, 9, 191",0.070502319,BAGHDAD_St_B,KG,184,190,192,99,9,191
"121.01377452866184, 118.47779915352169, 110.51989226625503","22, 23, 121",0.06210566,BAGHDAD_St_B,KG,121,118,111,22,23,121
"78.42122061341487, 86.62751050910609, 90.13218122372064","100, 34, 90",0.061432208,BAGHDAD_St_B,KG,78,87,90,100,34,90
"147.623627892285, 148.98128405591083, 147.710495143332","60, 2, 148",0.060400537,BAGHDAD_St_B,KG,148,149,148,60,2,148
"130.8548569581384, 132.4047195732992, 130.8178438661715","60, 4, 132",0.059488272,BAGHDAD_St_B,KG,131,132,131,60,4,132
"203.25626330439923, 200.09677419354207, 198.4563615523084","12, 6, 203",0.058064948,BAGHDAD_St_B,KG,203,200,198,12,6,203
"207.66636761242052, 212.73780419423207, 219.41347986990303","108, 14, 219",0.042647192,BAGHDAD_St_B,KG,208,213,219,108,14,219
"97.39051258992382, 115.40096672661916, 124.15164118705123","100, 56, 124",0.042327183,BAGHDAD_St_B,KG,97,115,124,100,56,124
"118.40562003664974, 63.87452657299184, 70.21991447769635","176, 119, 118",0.039017238,BAGHDAD_St_B,KG,118,64,70,176,119,118
"139.80554870530239, 99.19013563502043, 88.51294697903481","6, 94, 139",0.03872111,BAGHDAD_St_B,KG,140,99,89,6,94,139
"160.38997099046782, 126.67246857300762, 120.29534466086564","5, 64, 160",0.034651739,BAGHDAD_St_B,KG,160,127,120,5,64,160
"90.43559889389783, 56.067239120942304, 43.73118905544311","8, 133, 90",0.032693474,BAGHDAD_St_B,KG,90,56,44,8,133,90
"118.81380328473927, 146.3102048348407, 156.1887802177533","98, 62, 156",0.025935072,BAGHDAD_St_B,KG,119,146,156,98,62,156
"192.58123791102275, 154.66513539651834, 148.40111218568714","4, 58, 192",0.019764148,BAGHDAD_St_B,KG,193,155,148,4,58,192
"231.31720836482333, 234.70924666163012, 241.77551020407725","111, 11, 241",0.01897129,BAGHDAD_St_B,KG,231,235,242,111,11,241
"37.918575063608074, 66.21246819338666, 106.59510178117155","107, 166, 106",0.015006997,BAGHDAD_St_B,KG,38,66,107,107,166,106
"127.01357391572577, 130.40364952565744, 133.26570866216233","105, 12, 133",0.088227754,BALI_LANE,KG,127,130,133,105,12,133
"185.08949827866374, 190.10698989646914, 191.04721436725498","95, 8, 191",0.086648723,BALI_LANE,KG,185,190,191,95,8,191
"204.67497649830813, 209.4053548836619, 208.39701344532793","84, 6, 209",0.079553782,BALI_LANE,KG,205,209,208,84,6,209
"245.21833961196225, 248.03048157640222, 247.32303115974912","80, 3, 248",0.079183936,BALI_LANE,KG,245,248,247,80,3,248
"226.49516091167027, 229.9368198701278, 227.26630862459655","70, 3, 229",0.078277803,BALI_LANE,KG,226,230,227,70,3,229
"107.43936705131877, 110.35351827349321, 112.39867070694712","102, 11, 112",0.077550649,BALI_LANE,KG,107,110,112,102,11,112
"147.1888204898777, 150.33238091313945, 153.92808884285913","105, 10, 153",0.073408205,BALI_LANE,KG,147,150,154,105,10,153
"83.25800730702636, 86.85929700320418, 91.61389946516614","109, 22, 91",0.072717797,BALI_LANE,KG,83,87,92,109,22,91
"162.62557359744252, 169.55481076720363, 176.78077245498181","105, 20, 176",0.069435444,BALI_LANE,KG,163,170,177,105,20,176
"141.82139863836363, 116.18963593096527, 101.71902634043948","11, 72, 141",0.04818888,BALI_LANE,KG,142,116,102,11,72,141
"117.87326251978317, 95.22861106092252, 83.69136271644166","11, 74, 117",0.045654,BALI_LANE,KG,118,95,84,11,74,117
"182.7053231182904, 171.78856321804903, 155.93987426241716","18, 38, 182",0.038130851,BALI_LANE,KG,183,172,156,18,38,182
"166.3770698668763, 140.75630295383706, 122.69981458112075","12, 68, 166",0.033632611,BALI_LANE,KG,166,141,123,12,68,166
"91.40523230357604, 72.29492650850085, 63.14059119927455","10, 78, 91",0.033218669,BALI_LANE,KG,91,72,63,10,78,91
"36.74162654881424, 65.8944308104989, 98.54277578736998","106, 161, 98",0.025254342,BALI_LANE,KG,37,66,99,106,161,98
"168.42708542155566, 103.68327207934752, 53.733066042920555","13, 175, 168",0.019428246,BALI_LANE,KG,168,104,54,13,175,168
"120.16052185191701, 37.87265515863939, 39.06662841751478","179, 176, 120",0.017378207,BALI_LANE,KG,120,38,39,179,176,120
"46.13765237223147, 97.0185187982468, 148.89628868782444","105, 176, 148",0.014290179,BALI_LANE,KG,46,97,149,105,176,148
"76.91543895768078, 140.6148603074214, 204.71291135643554","105, 160, 204",0.012167512,BALI_LANE,KG,77,141,205,105,160,204
"233.95854995478467, 174.54467111211068, 69.67368331824117","19, 179, 233",0.007652412,BALI_LANE,KG,234,175,70,19,179,233
"96.46474183351376, 89.84141502336175, 82.39708565411422","15, 37, 96",0.080446309,BEACH_Rd,KG,96,90,82,15,37,96
"156.9948896372327, 153.4449922786294, 146.92931698516907","21, 16, 156",0.078100606,BEACH_Rd,KG,157,153,147,21,16,156
"144.59446720317408, 138.01025182475786, 129.11481489182913","18, 27, 144",0.069963572,BEACH_Rd,KG,145,138,129,18,27,144
"173.08534248536736, 167.43100243103243, 159.4616044616438","17, 21, 173",0.068014715,BEACH_Rd,KG,173,167,159,17,21,173
"113.38943060932085, 105.83799658036537, 96.35460470310711","16, 38, 113",0.067781647,BEACH_Rd,KG,113,106,96,16,38,113
"131.57969630977985, 122.91786492049711, 112.08088213360034","16, 37, 131",0.064792947,BEACH_Rd,KG,132,123,112,16,37,131
"180.69755847758992, 178.9603949212055, 176.8364210082815","15, 6, 180",0.064328749,BEACH_Rd,KG,181,179,177,15,6,180
"85.09860215955163, 77.34227687441572, 66.89703006464657","17, 57, 85",0.063539419,BEACH_Rd,KG,85,77,67,17,57,85
"108.7596229257395, 113.51491291418087, 118.46652844751661","105, 22, 118",0.062435616,BEACH_Rd,KG,109,114,118,105,22,118
"91.27220502679901, 96.9736343158869, 103.68379814940539","108, 30, 103",0.059810328,BEACH_Rd,KG,91,97,104,108,30,103
"121.07693698134216, 129.33754005422352, 135.07632076247668","103, 26, 135",0.058859643,BEACH_Rd,KG,121,129,135,103,26,135
"135.25453229445438, 145.1907778771344, 151.2099288968691","101, 27, 151",0.057192793,BEACH_Rd,KG,135,145,151,101,27,151
"70.75937208463219, 78.66310949488968, 89.53979209111873","107, 54, 89",0.050825817,BEACH_Rd,KG,71,79,90,107,54,89
"155.70382321991093, 162.43301097357443, 168.59418750316934","104, 20, 168",0.048311491,BEACH_Rd,KG,156,162,169,104,20,168
"200.24172549017408, 195.98376470586976, 194.9184117647414","5, 8, 200",0.024639326,BEACH_Rd,KG,200,196,195,5,8,200
"107.72853617654515, 50.0749604246095, 53.754586088122124","178, 136, 107",0.020815748,BEACH_Rd,KG,108,50,54,178,136,107
"26.015996145499216, 57.23372681281212, 104.6665863647272","108, 191, 104",0.02010443,BEACH_Rd,KG,26,57,105,108,191,104
"148.84237761850292, 100.520021031069, 89.58527271218558","6, 102, 148",0.017555701,BEACH_Rd,KG,149,101,90,6,102,148
"183.3465404677179, 140.77429272167922, 123.23679574423976","9, 84, 183",0.01398845,BEACH_Rd,KG,183,141,123,9,84,183
"240.43185447080867, 236.5326186131523, 237.54927007301455","173, 4, 240",0.008492693,BEACH_Rd,KG,240,237,238,173,4,240
"99.82184516297613, 89.56065742643585, 77.90436303326716","16, 57, 99",0.090804726,BUSSORAH_St_A,KG,100,90,78,16,57,99
"179.21087303106904, 173.12508130863066, 158.22232638226293","21, 30, 179",0.080308562,BUSSORAH_St_A,KG,179,173,158,21,30,179
"210.8755087400334, 210.37479822867883, 204.86309203533986","30, 7, 210",0.07416676,BUSSORAH_St_A,KG,211,210,205,30,7,210
"153.6881043463371, 144.58619302380797, 127.2763442074654","20, 43, 153",0.072493303,BUSSORAH_St_A,KG,154,145,127,20,43,153
"107.91625083044237, 106.98548932020238, 102.9500360470081","24, 12, 107",0.072425322,BUSSORAH_St_A,KG,108,107,103,24,12,107
"199.05518026029725, 193.732859276211, 179.43290905214266","21, 26, 199",0.071980123,BUSSORAH_St_A,KG,199,194,179,21,26,199
"154.16580017280782, 156.40346503094347, 155.41565497019718","75, 3, 156",0.071554347,BUSSORAH_St_A,KG,154,156,155,75,3,156
"134.4557781113332, 119.3680309678806, 97.7556610481311","18, 70, 134",0.071014588,BUSSORAH_St_A,KG,134,119,98,18,70,134
"126.25537044021384, 129.1556078118102, 129.4975560337599","90, 6, 129",0.069338576,BUSSORAH_St_A,KG,126,129,129,90,6,129
"72.28514073562219, 105.16208340527427, 153.4526420307506","108, 135, 153",0.047364867,BUSSORAH_St_A,KG,72,105,153,108,135,153
"90.47441974211026, 72.81524916445359, 50.30023175377946","17, 113, 90",0.043415836,BUSSORAH_St_A,KG,90,73,50,17,113,90
"65.00996677740521, 81.66299833888422, 101.31323285129793","107, 91, 101",0.041809337,BUSSORAH_St_A,KG,65,82,101,107,91,101
"228.20139704839812, 232.42650001945594, 232.82270913764665","90, 4, 232",0.039703971,BUSSORAH_St_A,KG,228,232,233,90,4,232
"169.00570392211614, 180.70227464661014, 193.98525563817992","106, 32, 193",0.036942307,BUSSORAH_St_A,KG,169,181,194,106,32,193
"92.44278872548901, 133.87638033066608, 188.30885851993742","107, 130, 188",0.033498277,BUSSORAH_St_A,KG,92,134,188,107,130,188
"30.763620080600447, 119.45969948752845, 227.56420717450465","106, 221, 227",0.020561441,BUSSORAH_St_A,KG,31,119,228,106,221,227
"25.26969124130008, 55.19296786388435, 104.14467548835589","109, 194, 104",0.02020978,BUSSORAH_St_A,KG,25,55,104,109,194,104
"133.32744257274163, 114.51120980091065, 48.22667687597422","23, 163, 133",0.01671157,BUSSORAH_St_A,KG,133,115,48,23,163,133
"30.553172017397003, 82.34484020938481, 176.06940732877928","109, 212, 176",0.013968818,BUSSORAH_St_A,KG,31,82,176,109,212,176
"181.52129183487818, 162.35056648000648, 91.70751399922752","24, 127, 181",0.011727489,BUSSORAH_St_A,KG,182,162,92,24,127,181
"104.91523787145363, 96.66583050640341, 88.35739465397745","15, 39, 104",0.103105893,BUSSORAH_St_B,KG,105,97,88,15,39,104
"143.87239849321008, 147.38319989457398, 149.6313960000884","100, 10, 149",0.095884161,BUSSORAH_St_B,KG,144,147,150,100,10,149
"123.5763811684627, 115.03559273965435, 105.05942711284025","17, 37, 123",0.093104543,BUSSORAH_St_B,KG,124,115,105,17,37,123
"90.84948686062533, 79.45000523019343, 70.56423249920104","14, 57, 90",0.090615546,BUSSORAH_St_B,KG,91,79,71,14,57,90
"162.90139358504123, 164.28996681940987, 164.1204234475755","90, 3, 164",0.083647513,BUSSORAH_St_B,KG,163,164,164,90,3,164
"120.81913498449461, 126.55110585921602, 130.80506413845796","102, 20, 130",0.077200592,BUSSORAH_St_B,KG,121,127,131,102,20,130
"142.11984300591013, 134.85540342231275, 125.15249473917596","16, 31, 142",0.076583486,BUSSORAH_St_B,KG,142,135,125,16,31,142
"74.26340678135008, 84.05355746980354, 91.85239189823241","102, 48, 91",0.068015195,BUSSORAH_St_B,KG,74,84,92,102,48,91
"97.97474299069047, 106.598232087234, 112.48469626167676","102, 34, 112",0.067617503,BUSSORAH_St_B,KG,98,107,112,102,34,112
"186.901637979214, 185.00190324384832, 182.63238845202406","23, 5, 186",0.044334115,BUSSORAH_St_B,KG,187,185,183,23,5,186
"27.058714506789684, 55.392053838132696, 96.21017022347243","108, 183, 96",0.029298334,BUSSORAH_St_B,KG,27,55,96,108,183,96
"93.31716948983735, 50.25967725769965, 50.29802545851692","0, 118, 93",0.026168494,BUSSORAH_St_B,KG,93,50,50,0,118,93
"175.7983021012406, 154.83687247933992, 132.44501882840723","15, 63, 175",0.023773381,BUSSORAH_St_B,KG,176,155,132,15,63,175
"20.487545262361238, 125.74308002624905, 218.40212398839242","104, 232, 218",0.0217037,BUSSORAH_St_B,KG,20,126,218,104,232,218
"35.50008599441762, 84.4687267098613, 142.14997420168774","106, 192, 142",0.018408244,BUSSORAH_St_B,KG,36,84,142,106,192,142
"136.46189577587444, 72.19767745682189, 75.968616635199","179, 120, 136",0.01815138,BUSSORAH_St_B,KG,136,72,76,179,120,136
"168.85930381967088, 100.78273566172712, 103.21203714519561","179, 103, 168",0.018084922,BUSSORAH_St_B,KG,169,101,103,179,103,168
"213.8147728054252, 216.86464563140862, 220.09713342953887","107, 8, 220",0.015364905,BUSSORAH_St_B,KG,214,217,220,107,8,220
"149.18150935125644, 171.83576855640638, 198.56520309757803","107, 63, 198",0.014475639,BUSSORAH_St_B,KG,149,172,199,107,63,198
"81.72297371205383, 127.3099135888015, 178.1750464870138","106, 139, 178",0.014462452,BUSSORAH_St_B,KG,82,127,178,106,139,178
"242.04609857880263, 245.64237755458953, 241.68573301428512","53, 4, 245",0.087249233,HAJI_LANE_A,KG,242,246,242,53,4,245
"225.88256331927792, 226.09450304293364, 219.2221927788487","34, 8, 226",0.081349881,HAJI_LANE_A,KG,226,226,219,34,8,226
"91.95007569910499, 77.52812555670634, 71.69629445461348","9, 56, 91",0.08119807,HAJI_LANE_A,KG,92,78,72,9,56,91
"147.2848359065959, 143.8575725871963, 142.70644435655373","6, 9, 147",0.079840976,HAJI_LANE_A,KG,147,144,143,6,9,147
"154.46791799345635, 163.01733297146723, 171.10088187684246","104, 25, 171",0.077535591,HAJI_LANE_A,KG,154,163,171,104,25,171
"124.92203687874486, 121.7490151469731, 121.7355386299678","0, 6, 124",0.075345951,HAJI_LANE_A,KG,125,122,122,0,6,124
"211.1487901807117, 202.60870365794565, 192.77391816368967","16, 23, 211",0.074477339,HAJI_LANE_A,KG,211,203,193,16,23,211
"94.83743537406643, 98.00242043513919, 103.8127051106734","107, 22, 103",0.072930858,HAJI_LANE_A,KG,95,98,104,107,22,103
"177.86550330044682, 183.18464934380916, 187.1731070334696","102, 14, 187",0.070823914,HAJI_LANE_A,KG,178,183,187,102,14,187
"128.0332301420385, 98.30286340141238, 84.43892718994005","10, 88, 128",0.04761705,HAJI_LANE_A,KG,128,98,84,10,88,128
